Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.4  ,  2.0206692  ,  41  ,  60  ,  50.51673  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  2 ,  64.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.36  ,  1.8788192  ,  41  ,  59  ,  46.97048  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  3 ,  96.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.36  ,  1.8093016  ,  41  ,  59  ,  45.23254  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  4 ,  128.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.32  ,  1.7676816  ,  41  ,  58  ,  44.19204  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  5 ,  160.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.28  ,  1.7408324  ,  41  ,  57  ,  43.52081  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  6 ,  192.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.2  ,  1.7212524  ,  41  ,  55  ,  43.03131  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  7 ,  224.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.2  ,  1.72069  ,  41  ,  55  ,  43.01725  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  8 ,  256.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.2  ,  1.7096616  ,  41  ,  55  ,  42.74154  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  9 ,  288.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.16  ,  1.7056088  ,  41  ,  54  ,  42.64022  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  10 ,  320.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.12  ,  1.6941476  ,  41  ,  53  ,  42.35369  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.6  ,  1.4598984  ,  33  ,  40  ,  36.49746  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  2 ,  128.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.6  ,  1.40051  ,  33  ,  40  ,  35.01275  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  3 ,  192.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.56  ,  1.3758416  ,  33  ,  39  ,  34.39604  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  4 ,  256.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.56  ,  1.3582492  ,  33  ,  39  ,  33.95623  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  5 ,  320.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.52  ,  1.3488852  ,  33  ,  38  ,  33.72213  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  6 ,  384.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.52  ,  1.3406824  ,  33  ,  38  ,  33.51706  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  7 ,  448.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.52  ,  1.340594  ,  33  ,  38  ,  33.51485  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  8 ,  512.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.52  ,  1.3383912  ,  33  ,  38  ,  33.45978  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  9 ,  576.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.52  ,  1.3376128  ,  33  ,  38  ,  33.44032  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  10 ,  640.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.52  ,  1.3332804  ,  33  ,  38  ,  33.33201  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.16  ,  1.28  ,  1.2200152  ,  29  ,  32  ,  30.50038  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  2 ,  256.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.16  ,  1.28  ,  1.1897032  ,  29  ,  32  ,  29.74258  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  3 ,  384.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.16  ,  1.28  
